Ref,Val,Package,PosX,PosY,Rot,Side
"7.5-24V DC","Jack-DC","BarrelJack_CUI_PJ-063AH_Horizontal_CircularHoles",21.500000,12.750000,0.000000,top
"BT1","3V","BatteryHolder_Keystone_1060_1x2032",40.000000,16.350000,-90.000000,top
"C1","22u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",23.500000,86.000000,180.000000,top
"C2","22u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",24.000000,65.500000,180.000000,top
"C3","22u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",24.000000,44.500000,180.000000,top
"C4","24V","CP_Elec_10x10.5",5.750000,91.500000,90.000000,top
"C5","24V","CP_Elec_10x10.5",21.500000,20.750000,0.000000,top
"C6","24V","CP_Elec_10x10.5",5.750000,46.500000,-90.000000,top
"C7","5V","CP_Elec_8x10.5",86.500000,36.250000,-90.000000,top
"C8","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",56.500000,112.812500,90.000000,top
"C9","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",57.250000,85.187500,90.000000,top
"C10","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",45.500000,49.000000,90.000000,top
"C11","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",64.000000,58.330000,180.000000,top
"C12","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",64.000000,56.000000,180.000000,top
"J1","DA15_Receptacle_MountingHoles","DSUB-15-HD_Vertical_Pitch2.29x1.98mm_Mercury3000_Enc",60.505001,122.500000,0.000000,top
"J2","DA15_Receptacle_MountingHoles","DSUB-15-HD_Vertical_Pitch2.29x1.98mm_Mercury3000_Enc",60.500000,94.500000,0.000000,top
"J3","DA15_Receptacle_MountingHoles","DSUB-15-HD_Vertical_Pitch2.29x1.98mm_Mercury3000_Enc",60.505001,67.000000,0.000000,top
"J7","Conn_01x04_Pin","JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal",87.000000,126.500000,90.000000,top
"J8","Conn_01x05_Pin","JST_PH_S5B-PH-SM4-TB_1x05-1MP_P2.00mm_Horizontal",87.000000,106.000000,90.000000,top
"J9","Conn_01x06_Pin","JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal",87.000000,83.500000,90.000000,top
"J10","Conn_01x07_Pin","JST_PH_S7B-PH-SM4-TB_1x07-1MP_P2.00mm_Horizontal",87.000000,59.000000,90.000000,top
"J11","FAN","JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical",42.850000,39.000000,0.000000,top
"J12","Conn_01x03_Pin","JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal",40.000000,133.000000,180.000000,top
"J13","Conn_01x03_Pin","JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal",55.000000,133.000000,180.000000,top
"J14","Conn_01x03_Pin","JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal",70.000000,133.000000,180.000000,top
"R1","120R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",67.500000,113.500000,90.000000,top
"R2","120R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",43.075000,58.500000,0.000000,top
"R3","120R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",63.500000,113.500000,90.000000,top
"R4","120R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",71.500000,85.250000,90.000000,top
"R5","120R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",63.500000,85.250000,90.000000,top
"R6","120R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",48.575000,58.500000,0.000000,top
"R7","120R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",71.500000,113.500000,90.000000,top
"R8","120R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",67.500000,85.250000,90.000000,top
"R9","120R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",54.250000,58.500000,0.000000,top
"R10","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",24.000000,83.000000,180.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",24.000000,62.500000,180.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",24.000000,42.000000,180.000000,top
"R13","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",74.800000,54.700000,-90.000000,top
"R14","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",74.800000,49.300000,-90.000000,top
"R15","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",37.000000,85.450000,-90.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",25.750000,132.500000,180.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",16.750000,114.500000,-90.000000,top
"SW3","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",25.750000,114.500000,180.000000,top
"SW4","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",16.750000,123.500000,180.000000,top
"SW5","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",25.750000,123.500000,-90.000000,top
"SW6","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",16.750000,132.500000,-90.000000,top
"U1","AM26LS32ACN","SO-16_3.9x9.9mm_P1.27mm",61.325000,106.575000,90.000000,top
"U2","AM26LS32Ax","SO-16_3.9x9.9mm_P1.27mm",61.000000,79.000000,90.000000,top
"U3","AM26LS32ACN","SO-16_3.9x9.9mm_P1.27mm",50.575000,52.000000,180.000000,top
"U4","TMC2209_BIGTREETECH","TMC2209_BIGTREETECH",21.500000,89.000000,0.000000,top
"U5","TMC2209_BIGTREETECH","TMC2209_BIGTREETECH",21.500000,68.500000,0.000000,top
"U6","TMC2209_BIGTREETECH","TMC2209_BIGTREETECH",21.500000,48.000000,0.000000,top
"U7","~","UDFN-8_1.2x1.8mm_OR_SO8_3.9x4.9mm",69.215000,56.250000,0.000000,top
"U8","~","DCDC_17.0mm_22.2mm",82.150000,12.890000,0.000000,top
"U9","~","Waveshare_FT232_USBC_module",62.885000,15.901000,180.000000,top
"U10","~","Nucleo144_H723_withVBAT",55.870000,65.620000,180.000000,top
