"Reference","Value","Footprint","Datasheet","Field4","LCSC","Qty"
"BT1","3V","Battery:BatteryHolder_Keystone_1060_1x2032","~","","","1"
"C1","22u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","C12891","1"
"C2","22u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","C12891","1"
"C3","22u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","C12891","1"
"C4","24V","Capacitor_SMD:CP_Elec_10x10.5","~","","C5155335","1"
"C5","24V","Capacitor_SMD:CP_Elec_10x10.5","~","","C5155335","1"
"C6","24V","Capacitor_SMD:CP_Elec_10x10.5","~","","C5155335","1"
"C7","5V","Capacitor_SMD:CP_Elec_8x10.5","~","","C310836","1"
"C8","100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","C24497","1"
"C9","100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","C24497","1"
"C10","100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","C24497","1"
"C11","100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","C24497","1"
"C12","100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","C24497","1"
"H1","MountingHole","stepper2:MountingHole_3.2mm_M3","~","","","1"
"H2","MountingHole","stepper2:MountingHole_3.2mm_M3","~","","","1"
"J1","DA15_Receptacle_MountingHoles","stepper2:DSUB-15-HD_Vertical_Pitch2.29x1.98mm_Mercury3000_Enc"," ~","","","1"
"J2","DA15_Receptacle_MountingHoles","stepper2:DSUB-15-HD_Vertical_Pitch2.29x1.98mm_Mercury3000_Enc"," ~","","","1"
"J3","DA15_Receptacle_MountingHoles","stepper2:DSUB-15-HD_Vertical_Pitch2.29x1.98mm_Mercury3000_Enc"," ~","","","1"
"J4","DE15_Receptacle_HighDensity","stepper2:DSUB-15-HD_Horizontal_Pitch2.29x2.54mm_EdgePinOffset9.40mm"," ~","","","1"
"J5","DE15_Receptacle_HighDensity","stepper2:DSUB-15-HD_Horizontal_Pitch2.29x2.54mm_EdgePinOffset9.40mm"," ~","","","1"
"J6","DE15_Receptacle_HighDensity","stepper2:DSUB-15-HD_Horizontal_Pitch2.29x2.54mm_EdgePinOffset9.40mm"," ~","","","1"
"J7","Conn_01x04_Pin","stepper2:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal","~","","C265102","1"
"J8","Conn_01x05_Pin","stepper2:JST_PH_S5B-PH-SM4-TB_1x05-1MP_P2.00mm_Horizontal","~","","C265104","1"
"J9","Conn_01x06_Pin","stepper2:JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal","~","","C265405","1"
"J10","Conn_01x07_Pin","stepper2:JST_PH_S7B-PH-SM4-TB_1x07-1MP_P2.00mm_Horizontal","~","","C265453","1"
"J11","FAN","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical","~","","","1"
"J12","Conn_01x03_Pin","stepper2:JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal","~","","C265101","1"
"J13","Conn_01x03_Pin","stepper2:JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal","~","","C265101","1"
"J14","Conn_01x03_Pin","stepper2:JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal","~","","C265101","1"
"POWER_5V1","Jack-DC","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal_CircularHoles","~","","","1"
"R1","120R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","C17909","1"
"R2","120R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","C17909","1"
"R3","120R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","C17909","1"
"R4","120R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","C17909","1"
"R5","120R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","C17909","1"
"R6","120R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","C17909","1"
"R7","120R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","C17909","1"
"R8","120R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","C17909","1"
"R9","120R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","C17909","1"
"R10","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","C17902","1"
"R11","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","C17902","1"
"R12","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","C17902","1"
"R13","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","C4410","1"
"R14","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","C4410","1"
"R15","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","C4410","1"
"SW1","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~","","C620327","1"
"SW2","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~","","C620327","1"
"SW3","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~","","C620327","1"
"SW4","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~","","C620327","1"
"SW5","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~","","C620327","1"
"SW6","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~","","C620327","1"
"U1","AM26LS32ACN","stepper2:SO-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/am26lv32.pdf","","C19092","1"
"U2","AM26LS32ACN","stepper2:SO-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/am26lv32.pdf","","C19092","1"
"U3","AM26LS32ACN","stepper2:SO-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/am26lv32.pdf","","C19092","1"
"U4","TMC2209_BIGTREETECH","stepper2:TMC2209_BIGTREETECH","","","","1"
"U5","TMC2209_BIGTREETECH","stepper2:TMC2209_BIGTREETECH","","","","1"
"U6","TMC2209_BIGTREETECH","stepper2:TMC2209_BIGTREETECH","","","","1"
"U7","~","stepper2:UDFN-8_1.2x1.8mm_OR_SO8_3.9x4.9mm","","","C725710","1"
"U8","~","stepper2:DCDC_17.0mm_22.2mm","","","","1"
"U9","~","stepper2:Waveshare_FT232_USBC_module","","","","1"
"U10","~","stepper2:Nucleo144_H723_withVBAT","","","","1"
