Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,23.5,-52,180,top
C2,22u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,24,-72.5,180,top
C3,22u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,24,-93.5,180,top
C4,24V,CP_Elec_10x10.5,6.75,-46.5,180,top
C5,24V,CP_Elec_10x10.5,21.5,-114,90,top
C6,24V,CP_Elec_10x10.5,6.75,-91.948,180,top
C7,5V,CP_Elec_8x10.5,86.5,-100.05,-90,top
C8,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,56.5,-23.1875,90,top
C9,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,57.25,-52.8125,90,top
C10,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,45.5,-89,90,top
J7,Conn_01x04_Pin,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,87,-11.5,90,top
J8,Conn_01x05_Pin,JST_PH_S5B-PH-SM4-TB_1x05-1MP_P2.00mm_Horizontal,87,-32,90,top
J9,Conn_01x06_Pin,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,87,-54.5,90,top
J10,Conn_01x07_Pin,JST_PH_S7B-PH-SM4-TB_1x07-1MP_P2.00mm_Horizontal,87,-79,90,top
J12,Conn_01x03_Pin,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,40,-5,180,top
J13,Conn_01x03_Pin,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,55,-5,180,top
J14,Conn_01x03_Pin,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,70,-5,180,top
R1,120R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,67.5,-22.5,90,top
R2,120R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,43.075,-79.5,0,top
R3,120R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,63.5,-22.5,90,top
R4,120R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,71.5,-52.05,90,top
R5,120R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,63.5,-52,90,top
R6,120R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,48.575,-79.5,0,top
R7,120R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,71.5,-22.5,90,top
R8,120R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,67.5,-52,90,top
R9,120R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,54.25,-79.5,0,top
R10,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,24,-55,180,top
R11,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,24,-75.5,180,top
R12,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,24,-96,180,top
R13,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,74.8,-83.3,-90,top
R14,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,74.8,-88.7,-90,top
R15,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,37,-52.55,-90,top
