Comment,Designator,Footprint,LCSC Part Number
22u,C1,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891
22u,C2,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891
22u,C3,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891
24V,C4,Capacitor_SMD:CP_Elec_10x10.5,C2880403
24V,C5,Capacitor_SMD:CP_Elec_10x10.5,C2880403
24V,C6,Capacitor_SMD:CP_Elec_10x10.5,C2880403
5V,C7,Capacitor_SMD:CP_Elec_8x10.5,C310836
100n,C8,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
100n,C9,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
100n,C10,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
Conn_01x04_Pin,J7,stepper2:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,C2688786
Conn_01x05_Pin,J8,stepper2:JST_PH_S5B-PH-SM4-TB_1x05-1MP_P2.00mm_Horizontal,C2874530
Conn_01x06_Pin,J9,stepper2:JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,C2874531
Conn_01x07_Pin,J10,stepper2:JST_PH_S7B-PH-SM4-TB_1x07-1MP_P2.00mm_Horizontal,C2856758
Conn_01x03_Pin,J12,stepper2:JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,C2688785
Conn_01x03_Pin,J13,stepper2:JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,C2688785
Conn_01x03_Pin,J14,stepper2:JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,C2688785
120R,R1,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R2,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R3,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R4,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R5,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R6,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R7,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R8,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
120R,R9,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
10k,R10,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17902
10k,R11,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17902
10k,R12,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17902
1k,R13,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4410
1k,R14,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4410
1k,R15,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4410
